codingid,coderid,manifestoid,sentenceid,code,scale,party,year,source,sentence_text,sentence_context,uid
204716161,6066983,Con 1987,10003411,1,Economic,Conservatives,1987,Crowd,high taxation prevents them doing so.,"As a party committed to the family and opposed to the over-powerful State, we want people to keep more of what they earn, and to have more freedom of choice about what they do for themselves, their families and for others less fortunate. Governments should trust people to spend their own money sensibly and decently HIGH TAXATION PREVENTS THEM DOING SO. That is why we have: cut the basic rate of tax from 33p to 27p in the £, and increased the personal allowances (the starting point for paying tax) by 22 per cent more than inflation. If Labour's tax regime were still in force, the family man on average earnings would today be paying more than £500 per year in extra income tax: a headmaster married to a nurse would be paying more than £1,300 extra",UID9276
25199,Slava,Con 1987,10004081,2,Economic,Conservatives,1987,Experts,"At the same time, by maintaining high starting wages comparable to those of fully trained craftsmen, trade unions have kept many of them out of work.","Although youth unemployment has declined in the last year it still remains a problem. Far too many of our youngsters leave school with an education that has failed to prepare them for the world of work. AT THE SAME TIME, BY MAINTAINING HIGH STARTING WAGES COMPARABLE TO THOSE OF FULLY TRAINED CRAFTSMEN, TRADE UNIONS HAVE KEPT MANY OF THEM OUT OF WORK. In 1983 we introduced the first Youth Training Scheme. It is now a national two-year programme aimed at giving young people qualifications for work.",UID2210
341605336,1.85e+07,Con 1987,10000901,2,Economic,Conservatives,1987,Crowd,Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way.,"We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country. Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security. OUR GOAL IS A CAPITAL-OWNING DEMOCRACY OF PEOPLE AND FAMILIES WHO EXERCISE POWER OVER THEIR OWN LIVES N THE MOST DIRECT WAY. They would take the important decisions - as tenants, home-owners, parents, employees, and trade unionists rather than having them taken for them. Of course, it is not possible to give people independence.",UID9508
27066,Slava,Lab 1987,30002251,NA,None,Labour,1987,Experts,"We will maintain mortgage tax relief, at the standard rate of income tax.","We will launch a major housebuilding and public and private sector housing renovation drive as part of our jobs programme and to combat the problems of bad housing, over crowding and homelessness. Owner occupiers will benefit from increased availability of improvement grants. WE WILL MAINTAIN MORTGAGE TAX RELIEF, AT THE STANDARD RATE OF INCOME TAX. To assist house-purchasers we will introduce a housing 'log book', giving each dwelling's history, condition and construction so that purchasers will know exactly what they are buying. This will be transferred with the sale.",UID19932
341604980,1.52e+07,Con 1987,10001771,1,Economic,Conservatives,1987,Crowd,Young people were reluctant to save for a retirement which seemed far away.,"Half of the working population are in occupational pension schemes, but in 1979 only seven per cent of the population held shares. People were deterred by the sheer unfamiliarity of owning shares. YOUNG PEOPLE WERE RELUCTANT TO SAVE FOR A RETIREMENT WHICH SEEMED FAR AWAY. And most tax incentives encouraged saving through institutions rather than directly. With a Conservative Government, all that has been changing.",UID18057
370525771,1.30e+07,Lab 2005,1150001661,-1,Economic,Labour,2005,Crowd,"The Labour Government backs manufacturing: from launch investment for Airbus A380 Super Jumbo to the successful Manufacturing Advisory Service helping 13,000 of our smaller manufacturing businesses in its first year.","The modern role for government - the case for a modern employment and skills policy - is to equip people to succeed, to be on their side, helping them become more skilled, adaptable and flexible for the job ahead rather than the old Tory way of walking away leaving people unaided to face change. Successful manufacturing industries are vital to our future prosperity. THE LABOUR GOVERNMENT BACKS MANUFACTURING: FROM LAUNCH INVESTMENT FOR AIRBUS A380 SUPER JUMBO TO THE SUCCESSFUL MANUFACTURING ADVISORY SERVICE HELPING 13,000 OF OUR SMALLER MANUFACTURING BUSINESSES IN ITS FIRST YEAR. In a third term we will continue to do so. Public procurement is a big opportunity for business in Britain and the source of many jobs.",UID18936
334314543,1.98e+07,Con 1987,10007341,-1,Social,Conservatives,1987,Crowd,"We have strengthened the safeguards against any abuse of police power by setting up an independent police Complaints Authority, providing for the tape-recording of police interviews and setting down clear rules on the proper treatment of the individual citizen.","We have embarked on the biggest prison building and modernisation programme this century and increased staff numbers by almost a fifth. Care for the Innocent. At the same time we have extended protection for innocent people and for the victims of crime. WE HAVE STRENGTHENED THE SAFEGUARDS AGAINST ANY ABUSE OF POLICE POWER BY SETTING UP AN INDEPENDENT POLICE COMPLAINTS AUTHORITY, PROVIDING FOR THE TAPE-RECORDING OF POLICE INTERVIEWS AND SETTING DOWN CLEAR RULES ON THE PROPER TREATMENT OF THE INDIVIDUAL CITIZEN. We have given special priority to helping the victims of crime. Police treatment of rape victims has been made more sensitive.",UID9562
19320,Alex,Con 1997,40005831,NA,None,Conservatives,1997,Experts,Mental Health. The last decade has also seen major changes in the care of mentally ill people.,"We expect to see the number of nurses working in GP practices continue to grow, as will the number of GPs. We will extend nationwide our plans to enable more nurses to prescribe a wider range of drugs for patients, recognising their contribution to primary care. MENTAL HEALTH. THE LAST DECADE HAS ALSO SEEN MAJOR CHANGES IN THE CARE OF MENTALLY ILL PEOPLE. We will continue to develop a full range of services - including 24-hour nursed hostels and secure units - that can care for them in a way which is most appropriate to them and the interests of the wider community. We will not dose any long-stay mental hospitals unless it can be shown that adequate care services exist in the community.",UID14156
NA,241,Lab 1997,60003391,0,Economic,Labour,1997,SemiExperts,No risks with inflation. We will match the current target for low and stable inflation of 2.5 per cent or less.,"We renew our pledge not to extend VAT to food, children's clothes, books and newspapers and public transport fares. We will also examine the interaction of the tax and benefits systems so that they can be streamlined and modernised, so as to fulfil our objectives of promoting work incentives, reducing poverty and welfare dependency, and strengthening community and family life. NO RISKS WITH INFLATION. WE WILL MATCH THE CURRENT TARGET FOR LOW AND STABLE INFLATION OF 2.5 PER CENT OR LESS. We will reform the Bank of England to ensure that decision-making on monetary policy is more effective, open, accountable and free from short-term political manipulation. Strict rules for government borrowing. We will enforce the 'golden rule' of public spending - over the economic cycle, we will only borrow to invest and not to fund current expenditure.",UID17312
370522822,2.05e+07,Lab 2001,1120002041,-1,Economic,Labour,2001,Crowd,"Invest in further rapid promotion and rewards for classroom excellence, more classroom assistants and help with housing costs in high-cost areas","10,000 more doctors, and access to a £500 million Performance Fund to spend on new patient services 10,000 more teachers. INVEST IN FURTHER RAPID PROMOTION AND REWARDS FOR CLASSROOM EXCELLENCE, MORE CLASSROOM ASSISTANTS AND HELP WITH HOUSING COSTS IN HIGH-COST AREAS 6,000 extra police recruits, raising police numbers to their highest ever level, with strong local leadership and proper rewards for those on the frontline Investment and reform Renewing public services: education reform. New Labour believes that schools need a step change in reform to make quality education open to all.",UID6500
370521646,1.10e+07,LD 2001,1110002061,-1,Economic,Liberal Democrats,2001,Crowd,Schools could choose to spend this money on books Information Communications Technology (ICT) software such as CD-ROMs.,"Liberal Democrats will:Increase funding for books and equipment in schools over and above existing spending levels. We would provide an average of £1250 per primary school and £4250 per secondary school per year. SCHOOLS COULD CHOOSE TO SPEND THIS MONEY ON BOOKS INFORMATION COMMUNICATIONS TECHNOLOGY (ICT) SOFTWARE SUCH AS CD-ROMS. Increase funding for ICT and science equipment and purchase and maintenance, and ICT training for teachers within schools, over and above existing spending levels. Widening Choice, Cutting Bureaucracy. Under the Conservatives and Labour, schools have been deluged with bureaucracy absorbing far too much of teachers' time to the detriment of their pupils.",UID18977
201970947,5983773,Con 1997,40004131,1,Social,Conservatives,1997,Crowd,We will encourage voluntary work by others living on benefit while continuing to insist that those who are capable of work should actively seek employment.,By the end of 1997 all young people aged between 15 and 25 who want to volunteer will be helped to find an opportunity to do so. We will make it easier for those receiving incapacity benefit to volunteer by removing the 16 hour weekly limit on their voluntary work. WE WILL ENCOURAGE VOLUNTARY WORK BY OTHERS LIVING ON BENEFIT WHILE CONTINUING TO INSIST THAT THOSE WHO ARE CAPABLE OF WORK SHOULD ACTIVELY SEEK EMPLOYMENT. We will also develop accreditation for voluntary work to encourage employers to see it as preparation for a paid job. It is wrong to imagine that compassion must be nationalised and that we can only help our fellow man through state action.,UID19721
341605066,2.11e+07,Lab 1997,60006561,-1,Social,Labour,1997,Crowd,and our welfare-to-work programme will lead the young unemployed into work and financial independence.,"Young people emerging from care without any family support are particularly vulnerable. We will attack the problem in two principal ways: the phased release of capital receipts from council house sales will increase the stock of housing for rent; AND OUR WELFARE-TO-WORK PROGRAMME WILL LEAD THE YOUNG UNEMPLOYED INTO WORK AND FINANCIAL INDEPENDENCE. Older citizens. We value the positive contribution that older people make to our society, through their families, voluntary activities and work. Their skills and experience should be utilised within their communities.",UID9295
80256,Iulia,Con 2010,1160011011,NA,None,Conservatives,2010,Experts,We are committed to succeeding in our mission in Afghanistan and will not leave our Forces without the resources they need to fulfil this goal.,"That response cannot just come from how we conduct our foreign affairs, or organise our defence and internal security - it must cut across energy, education, community cohesion, health, technology, international development and the environment too. Defend our security. We will create a National Security Council to oversee all aspects of our security, chaired by the Prime Minister. WE ARE COMMITTED TO SUCCEEDING IN OUR MISSION IN AFGHANISTAN AND WILL NOT LEAVE OUR FORCES WITHOUT THE RESOURCES THEY NEED TO FULFIL THIS GOAL. We will repair the Military Covenant with a series of measures to support service personnel, their families and veterans. Labour have failed to deliver a unified and coherent approach to national security.",UID16059
326878287,1.74e+07,Con 1997,40004321,0,Social,Conservatives,1997,Crowd,"First, we will set national targets for school performance that reflect our objective of ensuring that Britain is in the top league of international standards across the whole spectrum of education.","We must do more. Building on what we have done, we can now offer a new pledge to parents - a guarantee of education standards. FIRST, WE WILL SET NATIONAL TARGETS FOR SCHOOL PERFORMANCE THAT REFLECT OUR OBJECTIVE OF ENSURING THAT BRITAIN IS IN THE TOP LEAGUE OF INTERNATIONAL STANDARDS ACROSS THE WHOLE SPECTRUM OF EDUCATION. Second, we will require every school to plan how to improve its performance, and to set targets which relate to similar schools and national standards. Third, we will give all parents full information on the performance of their child's school.",UID2504
31425,Pablo,Lab 1992,1090002211,1,Economic,Labour,1992,Experts,There will be no return to the trade union legislation of the 1970s.,Britain cannot get the best performance from our employees by giving them the worst treatment. There will be a fair framework of law for both employers and unions. THERE WILL BE NO RETURN TO THE TRADE UNION LEGISLATION OF THE 1970S. Ballots before strikes and for union elections will stay. There will be no mass or flying pickets.,UID10801
45766,Pablo,LD 2005,1140006441,NA,None,Liberal Democrats,2005,Experts,We will insist on rigorous schemes of labelling and traceability in food to guarantee consumer choice.,"Green Action. No commercial GM crops unless we know they're safe for the environment. We support the right of communities to create GM-free zones. WE WILL INSIST ON RIGOROUS SCHEMES OF LABELLING AND TRACEABILITY IN FOOD TO GUARANTEE CONSUMER CHOICE. At the same time we will introduce measures to promote organic farming. I am passionate about the beauty of our landscape, and the communities who live within it.",UID11052
326877831,1.74e+07,Lab 1992,1090003511,0,Social,Labour,1992,Crowd,"English, mathematics, science, a modern language and technology.","We will modernise the curriculum. Labour will modernise the national curriculum and apply it in all schools. From the age of 14, pupils will study five essential subjects. ENGLISH, MATHEMATICS, SCIENCE, A MODERN LANGUAGE AND TECHNOLOGY. In schools teaching in Welsh, the study of Welsh will be included. Every pupil will also be offered a wide range of academic, technical and other options.",UID1930
370525716,1.52e+07,Lab 2005,1150001111,-1,Economic,Labour,2005,Crowd,"Labour's economic record is unprecedented - the highest employment ever, longest period of uninterrupted growth in modern history, lowest sustained interest and inflation rates for a generation.","Our strong, effective and responsive armed forces are ensuring the defence of Britain's interests. We introduced greenhouse-gas trading to cut pollution - the first country to do so - reducing emissions by 9.8 million tonnes in the first two years. LABOUR'S ECONOMIC RECORD IS UNPRECEDENTED - THE HIGHEST EMPLOYMENT EVER, LONGEST PERIOD OF UNINTERRUPTED GROWTH IN MODERN HISTORY, LOWEST SUSTAINED INTEREST AND INFLATION RATES FOR A GENERATION. Our economic policies will build on the platform of stability and growth in three ways: entrenching a lowdebt/high-employment economy which generates investment in public services supporting enterprise and wealth creation by making Britain the best place to do business",UID17762
370517684,6342862,Con 1992,1070002681,NA,None,Conservatives,1992,Crowd,But the ERM is not a magic wand.,It erodes savings and social benefits and threatens our currency. Inflation and Europe. Membership of the ERM is now central to our counter-inflation discipline. BUT THE ERM IS NOT A MAGIC WAND. It would not protect Labour it would merely expose the folly of Labour policies.,UID3079
334667902,2.11e+07,Lab 1997,60005291,1,Social,Labour,1997,Crowd,Crackdown on petty crimes and neighbourhood disorder,"Reform Crown Prosecution Service to convict more criminals Police on the beat not pushing paper CRACKDOWN ON PETTY CRIMES AND NEIGHBOURHOOD DISORDER Fresh parliamentary vote to ban all handguns Under the Conservatives, crime has doubled and many more criminals get away with their crimes: the number of people convicted has fallen by a third, with only one crime in 50 leading to a conviction.",UID15349
370521834,1.82e+07,LD 2001,1110003941,NA,None,Liberal Democrats,2001,Crowd,"This will ensure a separation of powers between the legal system and law enforcement agencies, reform the powers of the Lord Chancellor, and help to provide a fairer system of justice for all.","We will consult on introducing indefinite sentences for the most serious sex and violent offenders, so that they would only be released following an assessment by the court of the risk which they pose to society. Create a Department of Justice. THIS WILL ENSURE A SEPARATION OF POWERS BETWEEN THE LEGAL SYSTEM AND LAW ENFORCEMENT AGENCIES, REFORM THE POWERS OF THE LORD CHANCELLOR, AND HELP TO PROVIDE A FAIRER SYSTEM OF JUSTICE FOR ALL. We will establish a review of the legal aid system, to ensure genuine access to justice. Overhaul the youth justice system.",UID13507
334665807,1.51e+07,Con 1997,40009161,NA,None,Conservatives,1997,Crowd,Animal Welfare. A civilised society respects animals.,We will press the European Commission to establish regional committees to give fishermen a direct influence in fishing policy. We will use these committees to develop new ways of managing quotas and regulating fisheries which are more sensitive to the industry's needs. ANIMAL WELFARE. A CIVILISED SOCIETY RESPECTS ANIMALS. Britain will continue to take the lead in improving standards of animal welfare in Europe. In 1995 we secured a major breakthrough in the treatment of animals in transport,UID1996
26219,Iulia,Con 1992,1070008371,-1,Social,Conservatives,1992,Experts,We have increased funding for Victim Support.,"But we will examine ways of introducing further protection for the police. We must also pay special attention to the needs of the victims of crime, in the courts and in rebuilding their lives. WE HAVE INCREASED FUNDING FOR VICTIM SUPPORT. The number of people directly affected by violent and sexual crime remains relatively small. But fear of crime can have a devastating effect on people's lives, and particularly on women's lives.",UID10765
7408,Mik,LD 1997,50007781,NA,None,Liberal Democrats,1997,Experts,We will: Maintain a strong defence at home and enable the UK to play a leading role in keeping international peace.,"Britain must maintain an effective security capability. This will best be achieved through NATO and European co-operation, and this country must continue to play a full part in both. WE WILL: MAINTAIN A STRONG DEFENCE AT HOME AND ENABLE THE UK TO PLAY A LEADING ROLE IN KEEPING INTERNATIONAL PEACE. We will maintain Britain's overall defence capability at its current level, whilst ensuring UK forces meet current needs and are appropriate to potential threats. Retain Britain's basic nuclear capability through the Trident submarine force until such time as international multilateral nuclear disarmament can be achieved.",UID5862
334314904,2.12e+07,Con 1987,10007291,2,Social,Conservatives,1987,Crowd,The maximum penalties for trafficking in hard drugs and for attempted rape have been raised to life imprisonment.,We have given the police more powers to avert public disorder. We have encouraged tougher sentences for violent criminals. THE MAXIMUM PENALTIES FOR TRAFFICKING IN HARD DRUGS AND FOR ATTEMPTED RAPE HAVE BEEN RAISED TO LIFE IMPRISONMENT. The courts have been empowered to strip drug traffickers of their profits. We have brought forward a number of reforms to help tackle child abuse and make it more likely that offenders will be successfully prosecuted.,UID7110
50129,Mik,Lab 1992,1090003111,-1,Economic,Labour,1992,Experts,We will then continue steadily to increase the share of Britain's national wealth invested in education.,"Labour will modernise Britain's schools. Over the next 22 months, additional resources of at least £600 million will be made available for investment in education. WE WILL THEN CONTINUE STEADILY TO INCREASE THE SHARE OF BRITAIN'S NATIONAL WEALTH INVESTED IN EDUCATION. We will offer nursery education to three and four year olds. By the end of the decade, all three and four year o1ds will have the opportunity of nursery education if their parents so wish. Within six months, every local education authority will have to set targets for steadily increasing nursery and childcare services.",UID5226
334665368,2.12e+07,LD 1997,50001931,NA,None,Liberal Democrats,1997,Crowd,"We will bring together the marketing and infrastructure work of government, local Councils and tourist boards.","We will encourage regional technology transfer centres to bring together the resources of industry, universities and government laboratories. Promote tourism. WE WILL BRING TOGETHER THE MARKETING AND INFRASTRUCTURE WORK OF GOVERNMENT, LOCAL COUNCILS AND TOURIST BOARDS. We will ensure that local communities are involved in the planning of tourist developments from the earliest stages. Build new partnerships at work.",UID9293
370530040,1.52e+07,Lab 2010,1180011541,1,Economic,Labour,2010,Crowd,Digital government also demands digital inclusion.,"enable citizens to carry out more of their dealings with government online and save money for taxpayers as we switch services over to digital-only delivery. DIGITAL GOVERNMENT ALSO DEMANDS DIGITAL INCLUSION. So we will build on our network of UK Online centres and public libraries to spread free internet access points within the community, and develop new incentives for users to switch to online services. Protecting the UK and supporting the Union. Devolution has strengthened the UK, preserving the union on the basis of a fairer partnership.",UID648
55258,Iulia,LD 2001,1110011591,1,Economic,Liberal Democrats,2001,Experts,Taxpayers in each of the nations of the UK will be given a series of specific investment options and will be able to express their choice by returning a tear-off slip from their annual P60 forms.,"We will use evidence-based policy making to give the taxpayer better value for money. As resources allow, we plan to:  Give taxpayers greater choice over how taxes are spent. TAXPAYERS IN EACH OF THE NATIONS OF THE UK WILL BE GIVEN A SERIES OF SPECIFIC INVESTMENT OPTIONS AND WILL BE ABLE TO EXPRESS THEIR CHOICE BY RETURNING A TEAR-OFF SLIP FROM THEIR ANNUAL P60 FORMS. They would be given the opportunity, say, to choose to give 1% of income tax (currently around £1 billion) money to hospitals or schools. This measure will be introduced when revenues allow following consultation between the UK government and the nations and regions of the UK.",UID11868
342180150,2.10e+07,Lab 1997,60000771,NA,None,Labour,1997,Crowd,This is why new Labour is new.,"and confident of its place in the world. Programme: a new centre and centre-left politics. In each area of policy a new and distinctive approach has been mapped out, one that differs both from the solutions of the old left and those of the Conservative right. THIS IS WHY NEW LABOUR IS NEW. We believe in the strength of our values, but we recognise also that the policies of 1997 cannot be those of 1947 or 1967. More detailed policy has been produced by us than by any opposition in history.",UID17454
334314544,1.98e+07,LD 1987,20001691,0,Social,Liberal Democrats,1987,Crowd,Some Labour-controlled boroughs refuse to co-operate with the police in combating crime.,"There are few extra bobbies on the beat. The Alliance would tackle both crime and the causes of crime. SOME LABOUR-CONTROLLED BOROUGHS REFUSE TO CO-OPERATE WITH THE POLICE IN COMBATING CRIME. The Conservative Government refuses to recognise that homelessness, unemployment and aimless bed-and-breakfast regimes are breeding-grounds of delinquency. Both are wrong.",UID7880
370528616,1.63e+07,LD 2010,1170005851,0,Economic,Liberal Democrats,2010,Crowd,Work through the European Union for stricter international regulation of financial services and banking.,"Working together, the member states of the EU have a better chance of managing the impacts of globalisation, such as cross-border crime and environmental pollution. Liberal Democrats will:  Work with Britain's European neighbours to create thousands of new jobs by breaking down trade barriers and boosting support for green jobs. WORK THROUGH THE EUROPEAN UNION FOR STRICTER INTERNATIONAL REGULATION OF FINANCIAL SERVICES AND BANKING. Keep Britain part of international crime-fighting measures such as the European Arrest Warrant, European Police Office (Europol), Eurojust, and the European Criminal Records Information System, while ensuring high standards of justice. Keep the pressure on for reform of agricultural subsidies so that farmers, consumers and taxpayers get a fair deal, and the environment is protected.",UID14109
NA,223,Lab 1987,30000771,1,Economic,Labour,1987,SemiExperts,Much of it is the result of deliberate government policies.,"This could take as many as 160,000 people out of unemployment and into work. The Anti-Poverty Programme. The spread of poverty in the past eight years has stained the whole nation, and widened misery and disadvantage amongst old and young. MUCH OF IT IS THE RESULT OF DELIBERATE GOVERNMENT POLICIES. Millions of poor people endure it in despair. Millions who are not poor regard it as a disgrace.",UID11414
334314894,2.13e+07,Lab 1997,60009111,1,Social,Labour,1997,Crowd,"For example, we support comprehensive, enforceable civil rights for disabled people against discrimination in society or at work, developed in partnership with all interested parties.","Parliament will remain free to enhance these rights, for example by a Freedom of Information Act. We will seek to end unjustifiable discrimination wherever it exists. FOR EXAMPLE, WE SUPPORT COMPREHENSIVE, ENFORCEABLE CIVIL RIGHTS FOR DISABLED PEOPLE AGAINST DISCRIMINATION IN SOCIETY OR AT WORK, DEVELOPED IN PARTNERSHIP WITH ALL INTERESTED PARTIES. Labour will undertake a wide-ranging review both of the reform of the civil justice system and Legal Aid. We will achieve value for money for the taxpayer and the consumer.",UID17676
204712727,946983,Con 1997,40006561,-1,Economic,Conservatives,1997,Crowd,We will transfer Parcelforce to the private sector whilst ensuring that every Post Office in the land continues to provide a full parcel service at an economical price.,"The Royal Mail must face up to the challenges and opportunities that are arising from increasing competition and the international liberalisation of services. We will guarantee to preserve the national identity, universal service and distinctive characteristics of the Royal Mail, while considering options - including different forms of privatisation - to introduce private capital and management skills into its operations. WE WILL TRANSFER PARCELFORCE TO THE PRIVATE SECTOR WHILST ENSURING THAT EVERY POST OFFICE IN THE LAND CONTINUES TO PROVIDE A FULL PARCEL SERVICE AT AN ECONOMICAL PRICE. Privatisation works. We will therefore continue to pass government activities into private ownership where this can bring benefits to consumers and taxpayers.",UID2693
52942,Pablo,Con 1992,1070003941,0,Economic,Conservatives,1992,Experts,Service industries make a vital contribution to our economy and to our balance of payments.,"The European Bank for Reconstruction and Development is now based in London. It puts us in the forefront of encouraging investment in the developing markets of Central and Eastern Europe. SERVICE INDUSTRIES MAKE A VITAL CONTRIBUTION TO OUR ECONOMY AND TO OUR BALANCE OF PAYMENTS. Tourism, for example, today employs 1.5 million people, 20% more than in 1980. It is an industry which boasts many famous companies - but it is also driven by the dynamism of many small firms.",UID4358
22313,Sebestian,Con 1992,1070011581,NA,None,Conservatives,1992,Experts,"We now need to make it easier for those council tenants living in high-cost areas or on low incomes to move gradually into home ownership, without taking on too heavy a financial burden at any one time.","Some 4 million more householders own their own homes compared with 1979. The number of former council tenants who have bought their homes has risen to 1.4 million. WE NOW NEED TO MAKE IT EASIER FOR THOSE COUNCIL TENANTS LIVING IN HIGH-COST AREAS OR ON LOW INCOMES TO MOVE GRADUALLY INTO HOME OWNERSHIP, WITHOUT TAKING ON TOO HEAVY A FINANCIAL BURDEN AT ANY ONE TIME. This will bring the benefits of home ownership within the reach of more people and introduce more diversity in local authority estates. We also want to help more leaseholders to own and control the management of their property.",UID6626
8770,Pablo,LD 1987,20006391,0,Economic,Liberal Democrats,1987,Experts,"We will promote the establishment of elected Neighbourhood Councils with statutory parish status, where there is clear demand.","We will support opportunities for local people to work in their own community, to establish new businesses through local enterprise agencies and to train for needed skills. The Alliance will use the Urban Programme to establish community centres, enhance voluntary groups and assist tenants to manage their own estates. WE WILL PROMOTE THE ESTABLISHMENT OF ELECTED NEIGHBOURHOOD COUNCILS WITH STATUTORY PARISH STATUS, WHERE THERE IS CLEAR DEMAND. Genuine law and order depends on communities supporting the police in preventing crime and being confident enough to end the anonymity on which criminal activity thrives. Renewing our cities and enabling urban communities to develop a real sense of stability and security is the only sound way of preventing and detecting crime.",UID6091
341604910,1.93e+07,Lab 1997,60004871,NA,None,Labour,1997,Crowd,"Primary care will play a lead role. In recent years, GPs have gained power on behalf of their patients in a changed relationship with consultants, and we support this.","As a start, the first £100 million saved will treat an extra 100,000 patients. We will end waiting for cancer surgery, thereby helping thousands of women waiting for breast cancer treatment. PRIMARY CARE WILL PLAY A LEAD ROLE. IN RECENT YEARS, GPS HAVE GAINED POWER ON BEHALF OF THEIR PATIENTS IN A CHANGED RELATIONSHIP WITH CONSULTANTS, AND WE SUPPORT THIS. But the development of GP fundholding has also brought disadvantages. Decision-making has been fragmented.",UID12151
342164942,2.13e+07,Con 1987,10000641,2,Economic,Conservatives,1987,Crowd,"Remember: The year-long coal strike, with its violence and intimidation on a massive scale.","But restoring a country's greatness is not easy. The new Conservative policies met bitter resistance every step of the way. REMEMBER: THE YEAR-LONG COAL STRIKE, WITH ITS VIOLENCE AND INTIMIDATION ON A MASSIVE SCALE. It failed and mining productivity has since soared. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.",UID13682
55195,Iulia,LD 2001,1110010991,-2,Social,Liberal Democrats,2001,Experts,"All aid packages should address gender inequality, with a high priority for family planning and maternal health services.","Direct aid towards women. Women in developing countries face discrimination and economic exclusion. ALL AID PACKAGES SHOULD ADDRESS GENDER INEQUALITY, WITH A HIGH PRIORITY FOR FAMILY PLANNING AND MATERNAL HEALTH SERVICES. Step up the fight against HIV/AIDS. The AIDS pandemic is a global emergency which undermines economic development and threatens international security.",UID19349
41474,Mik,LD 2010,1170004071,-1,Economic,Liberal Democrats,2010,Experts,"Set up a 'Creative Enterprise Fund' offering training, mentoring and small grants or loans to help creative businesses get off the ground.","We will give people from all backgrounds and generations the opportunity to participate in sports. Liberal Democrats will:  Maintain free entry to national museums and galleries and open up the Government Art Collection for greater public use. SET UP A 'CREATIVE ENTERPRISE FUND' OFFERING TRAINING, MENTORING AND SMALL GRANTS OR LOANS TO HELP CREATIVE BUSINESSES GET OFF THE GROUND. Cut red tape for putting on live music. We will reintroduce the rule allowing two performers of unamplified music in any licensed premises without the need for an entertainment licence, allow licensed venues for up to 200 people to host live music without the need for an entertainment licence, and remove the requirement for schools and hospitals to apply for a licence.",UID15394
370522654,1.40e+07,Lab 2001,1120000361,NA,None,Labour,2001,Crowd,We are not boastful.,The challenge for Britain. I am honoured to be Prime Minister. And I have a confident belief in our country. WE ARE NOT BOASTFUL. But we have real strengths. Great people.,UID13394
215964547,313343,Con 1987,10002001,1,Economic,Conservatives,1987,Crowd,And the foundations of British economic achievement are further strengthened.,it also gives a heightened sense of involvement and pride in British business. More realistic attitudes to profit and investment take root. AND THE FOUNDATIONS OF BRITISH ECONOMIC ACHIEVEMENT ARE FURTHER STRENGTHENED. We will press on with the encouragement of popular capitalism. In the next Parliament: We will continue to extend share-ownership as we have done with home-ownership.,UID11859
370530037,1.10e+07,Lab 2010,1180011511,NA,None,Labour,2010,Crowd,We can use new technologies to give people a say on policy-making,"We will explore how to give citizens direct access to the data held on them by public agencies, so that people can use and control their own personal data in their interaction with service providers and the wider community. Opening up government - central and local - in this way offers huge potential for Britain. WE CAN USE NEW TECHNOLOGIES TO GIVE PEOPLE A SAY ON POLICY-MAKING enable citizens to carry out more of their dealings with government online and save money for taxpayers as we switch services over to digital-only delivery.",UID11070
57855,Pablo,Con 2010,1160003681,NA,None,Conservatives,2010,Experts,Councils will get more powers to get traffic flowing more smoothly.,"We will stop central government funding for new fixed speed cameras, and switch to more effective ways to make our roads safer, including authorising 'drugalyser' technology for use in testing for drug-driving. We will make companies that dig up our roads accountable for the congestion they cause and crack down on rogue clampers. COUNCILS WILL GET MORE POWERS TO GET TRAFFIC FLOWING MORE SMOOTHLY. We will consult on the introduction of a 'Fair Fuel Stabiliser'. This would cut fuel duty when oil prices rise, and vice versa.",UID311
326878420,2.09e+07,LD 1987,20001221,0,Social,Liberal Democrats,1987,Crowd,"Further instalments of reform followed in 1867, 1884, 1918 and 1928 before all men and women had gained the vote.","It was the product of reform - reform against vested interests of both left and right. In 1832 Britain took the first step with the Great Reform Act. FURTHER INSTALMENTS OF REFORM FOLLOWED IN 1867, 1884, 1918 AND 1928 BEFORE ALL MEN AND WOMEN HAD GAINED THE VOTE. Yet, since then, our democracy has stood still despite the tremendous changes in the economy and society. The Alliance believes that it is time for a new era of reform.",UID8422
370521032,1.93e+07,Con 2001,1100003401,1,Economic,Conservatives,2001,Crowd,And many of the current generation of working people have expectations of the pension they are likely to receive which are unfortunately way ahead of the likely reality.,We need to make it easier for people to provide for a prosperous retirement. But Labour have hit private and occupational pensions with higher taxes. AND MANY OF THE CURRENT GENERATION OF WORKING PEOPLE HAVE EXPECTATIONS OF THE PENSION THEY ARE LIKELY TO RECEIVE WHICH ARE UNFORTUNATELY WAY AHEAD OF THE LIKELY REALITY. The best way to achieve higher pensions in the future is by more genuine funding of pensions. We wish to enable young people to build up a funded alternative to the basic pension for the future.,UID6683
